outcome,HS_coef,HS_se,HS_x_FirstBorn_coef,HS_x_FirstBorn_se,Pre_coef,Pre_se,Pre_x_FirstBorn_coef,Pre_x_FirstBorn_se,p_HS_x_FirstBorn_eq_0,p_Pre_x_FirstBorn_eq_0,N
Repeat,-0.10537569097649173,0.052258977287307724,0.08623225104404024,0.08747125936614761,-0.10089522767860429,0.05447526525248896,0.04194163808838665,0.10082243443586258,0.3246443118552601,0.6775746891913169,1171
LD,-0.059510390205751315,0.027905410946921488,0.001976356658323887,0.0501183123220449,-0.013962324914103583,0.034851047569702934,-0.024575282192704443,0.050646011100969245,0.9685582732516166,0.6276945359850459,1247
HSGrad,0.09237081656138064,0.045486756521738406,-0.016595965004829776,0.07848337191616742,-0.01898720220230368,0.047504806607603374,0.020867767712573936,0.07795372031553117,0.8326048090644655,0.7890309564269242,1251
HSGrad_GED,0.06649945983322579,0.050163724891398566,-0.0007353149015228346,0.08801693919108594,-0.03393976557477793,0.04936636772517047,0.05636130077252797,0.08278513047830831,0.9933373797933641,0.4962749931394592,1100
someCollAtt,0.02540070388154716,0.05144939471566681,0.09095587867791242,0.08286679174563281,-0.04088308305483644,0.0537168354250922,0.2316147876554722,0.10055109006624846,0.27283343023300216,0.02161042842013388,1251
Idle,-0.07157049921184272,0.053920863937618635,-0.059994551895778264,0.083605776911003,0.01853455705442352,0.05142740271514012,0.01135979717091897,0.09187873442582417,0.4733151012312542,0.9016461790298828,1139
Crime,-0.005637077460158689,0.05200861706521601,0.013998122783930133,0.09228961106781497,0.005095859049914057,0.055815429064045026,-0.005445282240396556,0.09938929821533318,0.8794958415527557,0.9563269274407178,1251
TeenPreg,0.014993138157188595,0.05220347064887102,-0.09736669413420261,0.0922356224202875,0.02431496331881036,0.051427159466760616,-0.18960711390821952,0.09772997484947514,0.29158214636340196,0.05285632730448446,1251
PoorHealth,-0.05809113690820074,0.03292791556716935,-0.03230137672108605,0.0566910656732585,0.005482978962147347,0.04333116153413054,-0.0699460502596144,0.06923130389074743,0.5690509354031249,0.31276650673744566,1251
