,1_OLS_NoControls,2_OLS_PreTreat,3_OLS_Full,4_FE_NoControls,5_FE_PreTreat
N,1945.0,1945.0,1945.0,1945.0,1945.0
R2,0.0212313946227789,0.2134899978879493,0.27623746283004347,0.026576402216366257,0.12035296569795906
P_Equality,0.529336995699484,0.7670198909803436,0.7657659245708924,0.5641617136685317,0.4881681693928346
HS_5to6_coef,0.02712818724688728,0.14052705278737188,0.13583986386988375,0.10501751128552193,0.14990484631372547
HS_5to6_se,0.13605370952410098,0.1259764189383173,0.120659501806401,0.14967119132616802,0.15409624798070115
HS_7to10_coef,-0.09671878558048472,0.07275488962856329,0.06707910851204611,-0.0026028971661763113,0.042879425669183645
HS_7to10_se,0.10886267790572926,0.10023670088537644,0.09551413307908029,0.11335151087089372,0.12041962536348277
HS_11to14_coef,-0.12818918914236416,0.04475838177910479,0.040458560473353875,-0.035355751083999035,-0.002973437674877754
HS_11to14_se,0.1046776599662071,0.09741750890611302,0.09357197657989258,0.10858290082559519,0.11306180099851548
Pre_5to6_coef,0.04391999644890219,-0.06760139068412019,-0.1034905739736597,-0.09499485296713368,-0.07344435847378124
Pre_5to6_se,0.12375206039552282,0.11987053832049477,0.11772887796043444,0.12483695881277396,0.1260906173842179
Pre_7to10_coef,0.13913635507762798,0.06300798980332341,0.0470113733320317,0.020427976855615832,0.05683825459636228
Pre_7to10_se,0.08917271309928347,0.08402337945400769,0.08135666561067813,0.08672403833280025,0.08548446085250018
Pre_11to14_coef,0.08690529155632433,0.022052598050015342,0.0007213411279830809,-0.019750807811577405,0.00346238833283083
Pre_11to14_se,0.09975090060276368,0.09579329584584652,0.09051843404910236,0.09725605421909604,0.09183888668151143
