,Black,Male,lowAFQT
HS_Black_coef,0.135157367604134,,
HS_Black_se,0.07414436421182374,,
HS_NonBlack_coef,0.11410788799799614,,
HS_NonBlack_se,0.08974724335705125,,
Pre_Black_coef,0.13054241678564749,,
Pre_Black_se,0.08118278498890548,,
Pre_NonBlack_coef,0.005984982907855876,,
Pre_NonBlack_se,0.07868685629005234,,
p_HS_eq_Pre_Black,0.9598230823913152,,
p_HS_eq_Pre_NonBlack,0.3243620743968749,,
p_HS_Black_eq_HS_NonBlack,0.8562929817641216,,
R2_within,0.046281836411200206,0.04559394558774388,0.04760633322004537
N,4687.0,4687.0,4687.0
HS_Male_coef,,0.1485802193477774,
HS_Male_se,,0.08109682618508908,
HS_NonMale_coef,,0.09227524672841664,
HS_NonMale_se,,0.07943068315202502,
Pre_Male_coef,,0.07259756415553648,
Pre_Male_se,,0.09503361770608729,
Pre_NonMale_coef,,0.03337809877516124,
Pre_NonMale_se,,0.0792402210249514,
p_HS_eq_Pre_Male,,0.4511279512313079,
p_HS_eq_Pre_NonMale,,0.514500461235066,
p_HS_Male_eq_HS_NonMale,,0.6179910054851887,
HS_lowAFQT_coef,,,0.040266939549031135
HS_lowAFQT_se,,,0.09362066467345403
HS_NonlowAFQT_coef,,,0.16389828640992535
HS_NonlowAFQT_se,,,0.07315099560419194
Pre_lowAFQT_coef,,,0.1743769258311886
Pre_lowAFQT_se,,,0.13958282254415255
Pre_NonlowAFQT_coef,,,0.02243443553300171
Pre_NonlowAFQT_se,,,0.06338910087173515
p_HS_eq_Pre_lowAFQT,,,0.3715438033574344
p_HS_eq_Pre_NonlowAFQT,,,0.0926650388240716
p_HS_lowAFQT_eq_HS_NonlowAFQT,,,0.30516015754814896
